dedicated_video_card,name,price,processor,ram,screen,storage,video_card
,Lenovo IdeaPad S340-14IIL [81VV00K3CL],689990,Intel Core i5-1035G4 (4 núcleos / 8 hilos / 1100 MHz  - 3700 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 512GB,Intel Iris Plus Graphics G4 (Integrada)
,Lenovo ThinkPad X13 [20T3S7GM00],690000,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),16 GB DDR4 (2666 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics 620 (Integrada)
,Lenovo ThinkPad X1 Carbon [20FB002LUS],690000,Intel Core i7-6600U (2 núcleos / 4 hilos / 2600 MHz  - 3400 MHz),16 GB DDR3L (1866 MHz),"LED 14.0"" (2560x1440)  / 60 Hz",SSD 512GB,Intel HD Graphics 520 (Integrada)
AMD Radeon 530 (2 GB),MSI Modern 14 B10MW (i3-10110U / 8GB / 256GB SSD / Radeon 530 / W10H),691090,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Acer Nitro 5 AN515-43-R9M4-4 [NH.Q6ZAL.009.4],699900,AMD Ryzen 5 3550H (4 núcleos / 8 hilos / 2100 MHz  - 3700 MHz),12 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 8 (Integrada)
,HP 240 G7 (i5-1035G1 / 8GB / 1TB / W10P),699900,Intel Core i5-1035G1 (4 núcleos / 8 hilos / 1000 MHz  - 3600 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
NVIDIA GeForce GTX 1050 (4 GB),Acer Aspire Nitro 5 AN515-52-51RW (8 GB RAM / HDD 1 TB + SSD 250 GB),699900,Intel Core i5-8300H (4 núcleos / 8 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 630 (Integrada)
,Acer Swift 3 SF316-51-52P9 [NX.ABDAL.003],699990,Intel Core i5-11300H (4 núcleos / 8 hilos / 3100 MHz  - 4400 MHz),8 GB LPDDR4X (4266 MHz),"LED 16.1"" (1920x1080)  / 60 Hz",SSD 256GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Acer Nitro 5 AN515-54-59UV-7 [NH.Q59AL.003.7],699990,Intel Core i5-9300H (4 núcleos / 8 hilos / 2400 MHz  - 4100 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 630 (Integrada)
,Apple MacBook Air (Early 2014 / i5-4260U / 8GB / 256GB SSD / Silver) [MD760LL/B],699990,Intel Core i5-4260U (2 núcleos / 4 hilos / 1400 MHz  - 2700 MHz),8 GB LPDDR3 (1600 MHz),"LED 13.3"" (1440x900)  / 60 Hz",SSD 256GB,Intel HD Graphics 5000 (Integrada)
,Apple MacBook Air (Early 2014 / i7-4650U / 8GB / 512GB SSD / Silver) [MF067LL/A],699990,Intel Core i7-4650U (2 núcleos / 4 hilos / 1700 MHz  - 3300 MHz),8 GB LPDDR3 (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",SSD 512GB,Intel HD Graphics 5000 (Integrada)
,ASUS Zenbook 14 UM425UA-AM227T,699990,AMD Ryzen 7 5700U (8 núcleos / 16 hilos / 1800 MHz  - 4300 MHz),8 GB LPDDR4X (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,AMD Radeon RX Vega 8 (Integrada)
,ASUS M509DA-MH71-CB,699990,AMD Ryzen 7 3700U (4 núcleos / 8 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,AMD Radeon RX Vega 10 (Integrada)
,HP 240 G7 [151D9LT-M],699990,Intel Core i5-1035G1 (4 núcleos / 8 hilos / 1000 MHz  - 3600 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,Dell Vostro 5402 [DPRNN],699990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Dell G5 15 Gaming 5510 [GR04V],699990,Intel Core i5-10200H (4 núcleos / 8 hilos / 2400 MHz  - 4100 MHz),8 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080)  / 120 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Dell G3 15 3500 [X1MT4],699990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,Dell Inspiron 14 7405 2-in-1 (i5-1035G1 / 8GB / 256GB SSD),699990,Intel Core i5-1035G1 (4 núcleos / 8 hilos / 1000 MHz  - 3600 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) táctil / 60 Hz",SSD 256GB,Intel UHD Graphics G1 (Integrada)
,Lenovo IdeaPad 330S-14IKB [81F400UCCL],699990,Intel Core i7-8550U (4 núcleos / 8 hilos / 1800 MHz  - 4000 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,Lenovo ThinkBook 13s [20R9005LUS],699990,Intel Core i5-8265U (4 núcleos / 8 hilos / 1600 MHz  - 3900 MHz),8 GB DDR4 (2400 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
AMD Radeon RX 640 (2 GB),Lenovo ThinkPad E14 [20RBS0GX00],699990,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,Lenovo ThinkPad L470 [20JVA01WCL],699990,Intel Core i5-7200U (2 núcleos / 4 hilos / 2500 MHz  - 3100 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 620 (Integrada)
,Lenovo IdeaPad 3 14ITL6 [82H700D5CL],699990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
NVIDIA GeForce GTX 1650 Ti (4 GB),Lenovo IdeaPad Gaming 3 15ARH05 [82EY00TDCL],699990,AMD Ryzen 5 4600H (6 núcleos / 12 hilos / 3000 MHz  - 4000 MHz),8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 120 Hz",SSD 512GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
NVIDIA GeForce GTX 1660 Ti Max-Q (6 GB),HP Pavilion Gaming 15-DK1044LA [3Y7A9LA],699990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),HP Pavilion Gaming 15-EC1024LA [162D5LA],699990,AMD Ryzen 7 4800H (8 núcleos / 16 hilos / 2900 MHz  - 4200 MHz),8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,AMD Radeon RX Vega 7 (Integrada)
,Huawei Matebook D 15 [53011QQN / BohrD-WDH9D],699990,Intel Core i5-1135G7 (4 núcleos / 8 hilos / 2400 MHz  - 4200 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
NVIDIA GeForce 940MX (2 GB),Acer Aspire 5 A515 (i5-7200U / 8GB / 512GB SSD / GeForce 940MX 2GB),699990,Intel Core i5-7200U (2 núcleos / 4 hilos / 2500 MHz  - 3100 MHz),8 GB DDR4 (2133 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 512GB,Intel HD Graphics 620 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Lenovo IdeaPad Gaming 3 15ARH05 (Ryzen 5 4600H / 16GB / 512GB SSD / GeForce GXT 1650 4GB / W10H) (82EY),699990,AMD Ryzen 5 4600H (6 núcleos / 12 hilos / 3000 MHz  - 4000 MHz),16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 120 Hz",SSD 512GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
,Lenovo ThinkPad E15 [20RD005HUS],699990,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
,Lenovo ThinkPad X395 [20NL0007US],699990,AMD Ryzen 7 Pro 3700U (4 núcleos / 8 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (2400 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 10 (Integrada)
,Lenovo IdeaPad 5 14ARE05 [81YM005YUS],699990,AMD Ryzen 7 4700U (8 núcleos / 8 hilos / 2000 MHz  - 4100 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 7 (Integrada)
,HP Pavilion 15-ER0521LA [470N7LA],699990,Intel Core i5-1135G7 (4 núcleos / 8 hilos / 2400 MHz  - 4200 MHz),8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
,ASUS Zenbook UX391FA-EA061TS [90NB0L72-M02320],700000,Intel Core i7-8565U (4 núcleos / 8 hilos / 1800 MHz  - 4600 MHz),16 GB DDR3L (1866 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics 620 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Lenovo IdeaPad Gaming 3 15ARH05 [82EY0017CL],700000,AMD Ryzen 5 4600H (6 núcleos / 12 hilos / 3000 MHz  - 4000 MHz),8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 120 Hz",SSD 512GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
,MSI Modern 14 B11MOU [B11MOU-650CL],699990,Intel Core i5-1155G7 (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
,Lenovo ThinkPad E14 Gen 2 [20TBS0R400],702090,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP 245 G8 [325U8LA],705990,AMD Ryzen 5 3500U (4 núcleos / 8 hilos / 2100 MHz  - 3700 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 8 (Integrada)
,HP ProBook 445 G7 [153N9LT],707990,AMD Ryzen 5 4500U (6 núcleos / 6 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
,ASUS VivoBook X415EA-EK098T,709990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),8 GB DDR4 (2133 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
,HP 245 G8 [325U9LA],712500,AMD Ryzen 3 3300U (4 núcleos / 4 hilos / 2100 MHz  - 3500 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 6 (Integrada)
,Dell Latitude 3410 [K6NW5],712590,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
,Honor MagicBook X14 [53011WCD],715990,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics 620 (Integrada)
,ASUS ExpertBook B2451FA-EK0343R [90NX02N1-M04410],719000,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
,Dell Inspiron 13 5310 (i5-11300H / 8GB / 256GB SSD),719990,Intel Core i5-11300H (4 núcleos / 8 hilos / 3100 MHz  - 4400 MHz),8 GB LPDDR4X (3200 MHz),"LED 13.3"" (1920x1200)  / 60 Hz",SSD 256GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
NVIDIA GeForce MX330 (2 GB),Dell Inspiron 5402 (i7-1165G7 / 8GB / 512GB SSD / GeForce MX330 2GB),719990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),8 GB DDR4 (2933 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
,HP Pavilion 15-EH0011LA [310H1LA],719990,AMD Ryzen 7 4700U (8 núcleos / 8 hilos / 2000 MHz  - 4100 MHz),16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1050 (3 GB),HP Pavilion Gaming 15-DK1010CA [10M25UA],719990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,MSI Modern 14 B4MW (Ryzen 5 4500U / 8GB / 256GB SSD / W10H),719990,AMD Ryzen 5 4500U (6 núcleos / 6 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
,ASUS Zenbook 13 UM325SA (Ryzen 5 5600U / 8GB / 512GB SSD / OLED / W10H / Pine Grey),719990,AMD Ryzen 5 5600U (6 núcleos / 12 hilos / 2300 MHz  - 4200 MHz),8 GB LPDDR4X (3733 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 512GB,AMD Radeon RX Vega 7 (Integrada)
,Dell Latitude 3410 (i5-10210U / 8GB / 256GB SSD / W10H),724900,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),ASUS TUF Gaming F15 FX506LH-HN110T [90NR03U1-M05270],729990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080)  / 144 Hz",SSD 512GB,Intel UHD Graphics 630 (Integrada)
,ASUS VivoBook X415EA-EB742T,729990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),8 GB DDR4 (2133 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",Intel Optane 32GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
,Dell Inspiron 14 5406 (i7-1165G7 / 8GB / 512GB SSD / W10H),729990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) táctil / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
,Lenovo Yoga Slim 7 14ITL05 [82A3003YCL],729990,Intel Core i5-1135G7 (4 núcleos / 8 hilos / 2400 MHz  - 4200 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
,Lenovo IdeaPad 5 14ITL05 [82FE00SPCL],729990,Intel Core i5-1135G7 (4 núcleos / 8 hilos / 2400 MHz  - 4200 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
,Lenovo IdeaPad 5 15IIL05 [81YK006XUS],729990,Intel Core i7-1065G7 (4 núcleos / 8 hilos / 1300 MHz  - 3900 MHz),12 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) táctil / 60 Hz",SSD 512GB,Intel Iris Plus Graphics G7 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),HP Pavilion Gaming 15-DK0056WM [6WC31UA],729990,Intel Core i5-9300H (4 núcleos / 8 hilos / 2400 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce GTX 1050 (3 GB),HP Pavilion Gaming 15-EC0001LA [6QV97LA],729990,AMD Ryzen 5 3550H (4 núcleos / 8 hilos / 2100 MHz  - 3700 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),HP Pavilion Gaming 15-DK0020NR [6QZ95UA],729990,Intel Core i5-9300H (4 núcleos / 8 hilos / 2400 MHz  - 4100 MHz),8 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Acer Nitro 5 AN515-54-5812 [NH.Q59AA.002],729990,Intel Core i5-9300H (4 núcleos / 8 hilos / 2400 MHz  - 4100 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce MX450 (2 GB),ASUS Zenbook UX435EG-AI095TS,734990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),16 GB LPDDR4X (4266 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",Intel Optane 32GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
,HP Pavilion 13-BB0004LA [310D8LA],739990,Intel Core i7-1165G7 (4 núcleos / 8 hilos / 2800 MHz  - 4700 MHz),8 GB DDR4 (3200 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 256GB,Intel Iris Xe Graphics G7 96EUs (Integrada)
,Lenovo ThinkPad A275 [20KD001SUS],739990,AMD A12-8830B (4 núcleos / 4 hilos / 2500 MHz  - 3400 MHz),8 GB DDR4 (1866 MHz),"LED 12.5"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon R7 (Carrizo) (Integrada)
,HP ProBook 445 G7 [153P0LT],739990,AMD Ryzen 7 4700U (8 núcleos / 8 hilos / 2000 MHz  - 4100 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 7 (Integrada)
,Dell Latitude 3400 [L3400I38256W10PRO],749900,Intel Core i3-8145U (2 núcleos / 4 hilos / 2100 MHz  - 3900 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
,Acer Aspire 3 A315-42-R0W1-1 [NX.HF9AL.00F.1],749990,AMD Ryzen 7 3700U (4 núcleos / 8 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 10 (Integrada)
,Apple MacBook Air (Mid 2017 / i7-5650U / 8 GB / 256 GB SSD / Silver) [Z0UU1LL/A],749990,Intel Core i7-5650U (2 núcleos / 4 hilos / 2200 MHz  - 3200 MHz),8 GB LPDDR3 (1600 MHz),"LED 13.3"" (1440x900)  / 60 Hz",SSD 256GB,Intel HD Graphics 6000 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),ASUS X571GT-BQ930T [90NB0NL1-M15060],749990,Intel Core i5-9300H (4 núcleos / 8 hilos / 2400 MHz  - 4100 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics 630 (Integrada)
,ASUS M509DA-TB71-CB,749990,AMD Ryzen 7 3700U (4 núcleos / 8 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 10 (Integrada)
,Apple MacBook Air (Late 2018 / i5-8210Y / 8GB / 128 GB / Silver) [5REA2E/A],749990,Intel Core i5-8210Y (2 núcleos / 4 hilos / 1600 MHz  - 3600 MHz),8 GB DDR3L (2133 MHz),"LED 13.3"" (2560x1600)  / 60 Hz",SSD 128GB,Intel UHD Graphics 617 (Integrada)
,Dell Inspiron 14 7405 2-in-1 [i7405-A388TUP-PUS],749990,AMD Ryzen 5 4500U (6 núcleos / 6 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) táctil / 60 Hz",SSD 256GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Lenovo Legion 5 15ARH05 [82B500CYUS],749990,AMD Ryzen 5 4600H (6 núcleos / 12 hilos / 3000 MHz  - 4000 MHz),8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 120 Hz",SSD 256GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
,Lenovo ThinkPad E14 Gen 2 [20TBS0R500],749990,Intel Core i5-1135G7 (4 núcleos / 8 hilos / 2400 MHz  - 4200 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
NVIDIA GeForce GTX 1650 Max-Q (4 GB),MSI GF63 Thin 10SC [10SC-227CL],749990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,Lenovo ThinkPad T590 [20N5S02N00],749990,Intel Core i5-8265U (4 núcleos / 8 hilos / 1600 MHz  - 3900 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Acer Aspire Nitro 5 AN515-55-56P2-1 [NH.Q7MAL.00W.1],749990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),12 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 144 Hz",SSD 512GB,Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Lenovo IdeaPad Gaming 3i 15IMH05 [81Y4003VCL],749990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080)  / 120 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),HP Pavilion Gaming 16-A0001LA [165G0LA],749990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),8 GB DDR4 (2933 MHz),"LED 16.1"" (1920x1080)  / 60 Hz",Intel Optane 32GB,Intel UHD Graphics 630 (Integrada)
,Huawei Matebook D 15 [53012BGF / BohrD-WFH9C],749990,Intel Core i5-1135G7 (4 núcleos / 8 hilos / 2400 MHz  - 4200 MHz),16 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
,MSI Modern 14 B11MOU (i5-1135G7 / 8GB / 256GB SSD / W10H / Carbon Gray),749990,Intel Core i5-1135G7 (4 núcleos / 8 hilos / 2400 MHz  - 4200 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel Iris Xe Graphics G7 80EUs (Integrada)
,MSI Modern 14 B10MW (i5-10210U / 8GB / 256GB SSD / W10H),749990,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
NVIDIA GeForce 940MX (2 GB),Lenovo ThinkPad T470p (i7-7820HQ / 8GB / 256GB SSD / GeForce 940MX 2GB / W10P),749990,Intel Core i7-7820HQ (4 núcleos / 8 hilos / 2900 MHz  - 3900 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel HD Graphics 630 (Integrada)
,Dell Inspiron 15 3505 [2P08M],758958,AMD Ryzen 5 3450U (4 núcleos / 8 hilos / 2100 MHz  - 3500 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 8 (Integrada)
,Lenovo ThinkPad E14 [20RA004XUS],759990,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB),Acer Aspire Nitro 5 (i5-10300H / 16GB / 512GB SSD / GTX 1650 4GB / W10H / 144Hz),759990,Intel Core i5-10300H (4 núcleos / 8 hilos / 2500 MHz  - 4500 MHz),16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 144 Hz",SSD 512GB,Intel UHD Graphics 630 (Integrada)
,Lenovo ThinkPad E14 [20RBS7RY00],760000,Intel Core i7-10510U (4 núcleos / 8 hilos / 1800 MHz  - 4900 MHz),16 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics 620 (Integrada)
