dedicated_video_card,name,price,processor,ram,screen,storage,video_card
,HP Stream 14 (N4000 / 4GB / 64GB eMMC / Azul),259990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR4 (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,Lenovo IdeaPad S145-14API [81UV00AGCL],259990,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,Acer Aspire 3 A314-31-C0V3 [NX.GNSAL.022],265000,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB DDR3L (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 500 (Integrada)
,HP 255 G7 [28S75LT],265190,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,Lenovo V14 IGL [82C2000KCL],269952,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel UHD Graphics 600 (Integrada)
,BMAX MaxBook S13 (N4020 / 6GB / 128GB SSD),269990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),6 GB LPDDR4 (2400 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 128GB,Intel UHD Graphics 600 (Integrada)
,ASUS VivoBook X415MA-BV145T,269990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2133 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel UHD Graphics 600 (Integrada)
,HP 255 G7 (3020e / 8GB / 1TB / FreeDOS),269990,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),8 GB DDR4 (1866 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,HP 240 G7 (Celeron N4000 / 4GB / 500 GB / W10 Home),269990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel UHD Graphics 600 (Integrada)
,Hyundai HYflip 13.3 [HTLF13INC4Z1ES],269990,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB LPDDR4 (2133 MHz),"LED 13.3"" (1920x1080) táctil / 60 Hz",eMMC 64GB,Intel HD Graphics 500 (Integrada)
,Toshiba Tecra A50-F [PT5B1U-0RC01U],269990,Intel Celeron 4205U (2 núcleos / 2 hilos / 1800 MHz ),4 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics 610 (Integrada)
,ASUS 15 X515MA-BR576T,269990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel UHD Graphics 600 (Integrada)
,Lenovo ThinkPad L430 [2466AE4],270000,Intel Core i5-2520M (2 núcleos / 4 hilos / 2500 MHz  - 3200 MHz),2 GB DDR3 (1333 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel HD Graphics 3000 (Integrada)
,BMAX MaxBook S13 A (N4020 / 6GB / 128GB SSD),279990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),6 GB LPDDR4 (2400 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",SSD 128GB,Intel UHD Graphics 600 (Integrada)
,HP Chromebook 14A-NA0020CA [9VU03UA],279990,Intel Pentium Silver N5000 (4 núcleos / 4 hilos / 1100 MHz  - 2700 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 605 (Integrada)
